"Reference: PSC 2019. Pacific Salmon Commission harvest rates database provided by G. Brown, Personal Communication. Department of Fisheries and Oceans, Government of Canada. Gayle.Brown@dfo-mpo.gc.ca",,,,,,
FigureLabel,Stock,Run,Rear,BroodYear,ReturnYear,TotHR_tot
Hanford 47,Hanford Wild,Fall,W,1986,1990,0.6095643
Hanford 47,Hanford Wild,Fall,W,1987,1991,0.6677034
Hanford 47,Hanford Wild,Fall,W,1988,1992,0.4985304
Hanford 47,Hanford Wild,Fall,W,1989,1993,0.5661727
Hanford 47,Hanford Wild,Fall,W,1990,1994,0.4634238
Hanford 47,Hanford Wild,Fall,W,1991,1995,0.5306557
Hanford 47,Hanford Wild,Fall,W,1992,1996,0.5124887
Hanford 47,Hanford Wild,Fall,W,1993,1997,0.51663
Hanford 47,Hanford Wild,Fall,W,1994,1998,0.5093204
Hanford 47,Hanford Wild,Fall,W,1995,1999,0.477884
Hanford 47,Hanford Wild,Fall,W,1996,2000,0.4330071
Hanford 47,Hanford Wild,Fall,W,1997,2001,0.5519525
Hanford 47,Hanford Wild,Fall,W,1998,2002,0.4149488
Hanford 47,Hanford Wild,Fall,W,1999,2003,0.4838965
Hanford 47,Hanford Wild,Fall,W,2000,2004,0.5881194
Hanford 47,Hanford Wild,Fall,W,2001,2005,0.6562375
Hanford 47,Hanford Wild,Fall,W,2002,2006,0.6654066
Hanford 47,Hanford Wild,Fall,W,2003,2007,0.6931413
Hanford 47,Hanford Wild,Fall,W,2004,2008,0.7769873
Hanford 47,Hanford Wild,Fall,W,2005,2009,0.7726616
Hanford 47,Hanford Wild,Fall,W,2006,2010,0.6582243
Hanford 47,Hanford Wild,Fall,W,2007,2011,0.5870484
Hanford 47,Hanford Wild,Fall,W,2008,2012,0.7175518
Hanford 47,Hanford Wild,Fall,W,2009,2013,0.6600218
Hanford 47,Hanford Wild,Fall,W,2010,2014,0.5574116
Hanford 47,Hanford Wild,Fall,W,2011,2015,0.5105384
LyonsFe 46,Lyons Ferry,Fall,H,1984,1988,0.6644301
LyonsFe 46,Lyons Ferry,Fall,H,1985,1989,NA
LyonsFe 46,Lyons Ferry,Fall,H,1986,1990,0.6743605
LyonsFe 46,Lyons Ferry,Fall,H,1987,1991,0.4820945
LyonsFe 46,Lyons Ferry,Fall,H,1988,1992,0.3616536
LyonsFe 46,Lyons Ferry,Fall,H,1989,1993,0.4898539
LyonsFe 46,Lyons Ferry,Fall,H,1990,1994,NA
LyonsFe 46,Lyons Ferry,Fall,H,1991,1995,NA
LyonsFe 46,Lyons Ferry,Fall,H,1992,1996,NA
LyonsFe 46,Lyons Ferry,Fall,H,1993,1997,NA
LyonsFe 46,Lyons Ferry,Fall,H,1994,1998,0.4358084
LyonsFe 46,Lyons Ferry,Fall,H,1995,1999,NA
LyonsFe 46,Lyons Ferry,Fall,H,1996,2000,NA
LyonsFe 46,Lyons Ferry,Fall,H,1997,2001,NA
LyonsFe 46,Lyons Ferry,Fall,H,1998,2002,0.2631067
LyonsFe 46,Lyons Ferry,Fall,H,1999,2003,0.2543916
LyonsFe 46,Lyons Ferry,Fall,H,2000,2004,NA
LyonsFe 46,Lyons Ferry,Fall,H,2001,2005,0.2114521
LyonsFe 46,Lyons Ferry,Fall,H,2002,2006,0.1628133
LyonsFe 46,Lyons Ferry,Fall,H,2003,2007,0.3381694
LyonsFe 46,Lyons Ferry,Fall,H,2004,2008,0.1199223
LyonsFe 46,Lyons Ferry,Fall,H,2005,2009,0.237348
LyonsFe 46,Lyons Ferry,Fall,H,2006,2010,0.227432
LyonsFe 46,Lyons Ferry,Fall,H,2007,2011,0.310381
LyonsFe 46,Lyons Ferry,Fall,H,2008,2012,0.5362716
LyonsFe 46,Lyons Ferry,Fall,H,2009,2013,0.5082715
LyonsFe 46,Lyons Ferry,Fall,H,2010,2014,0.5667893
LyonsFe 46,Lyons Ferry,Fall,H,2011,2015,0.7197623
SprgCrk 66,Spring Creek Tule,Fall,H,1972,1976,0.8911671
SprgCrk 66,Spring Creek Tule,Fall,H,1973,1977,0.9296849
SprgCrk 66,Spring Creek Tule,Fall,H,1974,1978,0.8587429
SprgCrk 66,Spring Creek Tule,Fall,H,1975,1979,0.8541188
SprgCrk 66,Spring Creek Tule,Fall,H,1976,1980,0.8524245
SprgCrk 66,Spring Creek Tule,Fall,H,1977,1981,0.8796894
SprgCrk 66,Spring Creek Tule,Fall,H,1978,1982,0.8519189
SprgCrk 66,Spring Creek Tule,Fall,H,1979,1983,0.8790935
SprgCrk 66,Spring Creek Tule,Fall,H,1980,1984,0.7850839
SprgCrk 66,Spring Creek Tule,Fall,H,1981,1985,0.7205586
SprgCrk 66,Spring Creek Tule,Fall,H,1982,1986,0.6781656
SprgCrk 66,Spring Creek Tule,Fall,H,1983,1987,0.9025278
SprgCrk 66,Spring Creek Tule,Fall,H,1984,1988,0.871625
SprgCrk 66,Spring Creek Tule,Fall,H,1985,1989,0.9409884
SprgCrk 66,Spring Creek Tule,Fall,H,1986,1990,0.8317347
SprgCrk 66,Spring Creek Tule,Fall,H,1987,1991,0.7930397
SprgCrk 66,Spring Creek Tule,Fall,H,1988,1992,0.7731648
SprgCrk 66,Spring Creek Tule,Fall,H,1989,1993,0.7433257
SprgCrk 66,Spring Creek Tule,Fall,H,1990,1994,0.7222355
SprgCrk 66,Spring Creek Tule,Fall,H,1991,1995,0.6438209
SprgCrk 66,Spring Creek Tule,Fall,H,1992,1996,0.5802529
SprgCrk 66,Spring Creek Tule,Fall,H,1993,1997,0.6729065
SprgCrk 66,Spring Creek Tule,Fall,H,1994,1998,0.5179619
SprgCrk 66,Spring Creek Tule,Fall,H,1995,1999,0.4610896
SprgCrk 66,Spring Creek Tule,Fall,H,1996,2000,0.6159038
SprgCrk 66,Spring Creek Tule,Fall,H,1997,2001,0.6201667
SprgCrk 66,Spring Creek Tule,Fall,H,1998,2002,0.4970296
SprgCrk 66,Spring Creek Tule,Fall,H,1999,2003,0.5852212
SprgCrk 66,Spring Creek Tule,Fall,H,2000,2004,0.5742811
SprgCrk 66,Spring Creek Tule,Fall,H,2001,2005,0.5294945
SprgCrk 66,Spring Creek Tule,Fall,H,2002,2006,0.556339
SprgCrk 66,Spring Creek Tule,Fall,H,2003,2007,0.6462531
SprgCrk 66,Spring Creek Tule,Fall,H,2004,2008,0.6981862
SprgCrk 66,Spring Creek Tule,Fall,H,2005,2009,0.6099723
SprgCrk 66,Spring Creek Tule,Fall,H,2006,2010,0.5258251
SprgCrk 66,Spring Creek Tule,Fall,H,2007,2011,0.6835805
SprgCrk 66,Spring Creek Tule,Fall,H,2008,2012,0.707002
SprgCrk 66,Spring Creek Tule,Fall,H,2009,2013,0.727211
SprgCrk 66,Spring Creek Tule,Fall,H,2010,2014,0.7704605
SprgCrk 66,Spring Creek Tule,Fall,H,2011,2015,0.7732154
